H1TS11	what to do if someone chokes on food
H1TS12	safety at home, school, or play
H1TS13	stress
H1TS14	how to handle conflict
H1TS15	where to go for help with a health problem
H1TS16	the problems of being underweight
H1TS17	suicide
H1ED1	[If SCHOOL YEAR:]  During this school year... how many times {HAVE YOU BEEN/WERE YOU} absent from school for a full day with an excuse—for example, because you were sick or out of town?
H1ED2	how many times {HAVE YOU SKIPPED/DID YOU SKIP} school for a full day without an excuse?
H1ED3	Have you ever skipped a grade?
H1ED4A	Which grades have you skipped? first
H1ED4B	Which grades have you skipped? second
H1ED4C	Which grades have you skipped? third
H1ED4D	Which grades have you skipped? fourth
H1ED4E	Which grades have you skipped? fifth
H1ED4F	Which grades have you skipped? sixth
H1ED4G	Which grades have you skipped? seventh
H1ED4H	Which grades have you skipped? eighth
H1ED4I	Which grades have you skipped? ninth
H1ED4J	Which grades have you skipped? tenth
H1ED4K	Which grades have you skipped? eleventh
H1ED4M	Which grades have you skipped? school not graded
H1ED5	Have you ever repeated a grade or been held back a grade?
H1ED6A	Which grades have you repeated? first
H1ED6B	Which grades have you repeated? second
H1ED6C	Which grades have you repeated? third
H1ED6D	Which grades have you repeated? fourth
H1ED6E	Which grades have you repeated? fifth
H1ED6F	Which grades have you repeated? sixth
H1ED6G	Which grades have you repeated? seventh
H1ED6H	Which grades have you repeated? eighth
H1ED6I	Which grades have you repeated? ninth
H1ED6J	Which grades have you repeated? tenth
H1ED6K	Which grades have you repeated? eleventh
H1ED6L	Which grades have you repeated? twelfth
H1ED6M	Which grades have you repeated? school not graded
H1ED7	Have you ever received an out-of-school suspension from school?
H1ED8	What grade were you in the last time this happened?
H1ED9	Have you ever been expelled from school?
H1ED10	What grade were you in the last time this happened?
H1ED11	At the {MOST RECENT GRADING PERIOD/LAST GRADING PERIOD IN THE SPRING}, what was your grade in English or language arts?
H1ED12	And what was your grade in mathematics?
H1ED13	And what was your grade in history or social studies?
H1ED14	And what was your grade in science?
H1ED15	getting along with your teachers?
H1ED16	paying attention in school?
H1ED17	getting your homework done?
H1ED18	getting along with other students?
H1ED19	[Hand R show card 6.]  How much do you agree or disagree with the following statements:
H1ED20	(How much do you agree or disagree with the following:) [If SCHOOL YEAR:]  You feel like you are part of your school.
H1ED21	(How much do you agree or disagree with the following:)
H1ED22	(How much do you agree or disagree with the following:) [If SCHOOL YEAR:]  You are happy to be at your school. [If SUMMER:]  Last year, you were happy to be at your school.
H1ED23	(How much do you agree or disagree with the following:) [If SCHOOL YEAR:]  The teachers at your school treat students fairly.
H1ED24	(How much do you agree or disagree with the following:)
H1PL1	Do you have difficulty using your hands, arms, legs, or  feet because of a permanent physical condition?
H1PL2	Does the condition involve a heart problem?
H1PL3	Does the condition involve asthma?
H1PL4	Does the condition involve breathing difficulties?
H1PL5	Do you use a cane, crutches, walker, medically prescribed shoes, wheelchair, or scooter to get around because of a permanent physical condition?
H1PL6	Do you use a brace for your hand, arm, leg, or foot because of a permanent physical condition?
H1PL7	Do you use an artificial hand, arm, leg, or foot?
H1PL8	Walking up 10 steps without resting.  That is, by yourself and not using aids, do you have difficulty walking up 10 steps without resting?
H1PL9	How much difficulty do you have?
H1PL10	(By yourself and not using aids, do you have difficulty...) walking one-quarter of a mile, or about three city blocks?
H1PL11	How much difficulty do you have?
H1PL12	(By yourself and not using aids, do you have difficulty...) standing for about 20 minutes?
H1PL13	How much difficulty?
H1PL14	(By yourself and not using aids, do you have difficulty...) reaching up over your head, or reaching out as if to shake someone's hand?
H1PL15	How much difficulty?
H1PL16	(By yourself and not using aids, do you have difficulty...) using your fingers to grasp or handle something, for example, picking up a glass?
H1PL17	How much difficulty?
H1PL18	(By yourself and not using aids, do you have difficulty...) holding a pen or pencil?
H1PL19	How much difficulty?
H1PL20	Because of the difficulty in using your hands, arms, legs, or feet, do you need help from another person when eating?
H1PL21	Because of the difficulty in using your hands, arms, legs, or feet, do you need help from another person when bathing?
H1PL22	Because of the difficulty in using your hands, arms, legs, or feet, do you need help from another person when dressing?
H1PL23	Because of the difficulty in using your hands, arms, legs, or feet, do you need help from another person when getting on or off the toilet?
H1PL24	Because of the difficulty in using your hands, arms, legs, or feet, do you need help from another person when shopping?
H1PL25	Because of the difficulty in using your hands, arms, legs, or feet, do you use special equipment in eating, dressing, or getting on or off the toilet?
H1PL26	Because of the difficulty in using your hands, arms, legs, or feet, do you use special equipment in bathing?
H1PL29	Because of the difficulty in using your hands, arms, legs, or feet, do you use special equipment in shopping?
H1PL30	Do you use a cane?
H1PL31	Do you use crutches or a walker?
H1PL33	Do you use medically prescribed shoes?
H1PL34	Do you use a manual wheelchair, a powered wheelchair, or a scooter?
H1PL37	Do you consider yourself to have a disability?
H1PL38	Do you think other people consider you to have a disability?
H1HS1	In the past year have you had a routine physical examination?
H1HS2A	Where did you have this examination?  Code all that apply. private doctor's office
H1HS2B	Where did you have this examination?  Code all that apply. community health clinic
H1HS2C	Where did you have this examination?  Code all that apply. school
H1HS2D	Where did you have this examination?  Code all that apply. hospital
H1HS2E	Where did you have this examination?  Code all that apply. or some other place
H1HS3	In the past year, have you received psychological or emotional counseling?
H1HS4A	Where did you receive this counseling?  Code all that apply. private doctor's office
H1HS4B	Where did you receive this counseling?  Code all that apply. community health clinic
H1HS4C	Where did you receive this counseling?  Code all that apply. school
H1HS4D	Where did you receive this counseling?  Code all that apply. hospital
H1HS4E	Where did you receive this counseling?  Code all that apply. or some other place
H1HS5	In the past year, have you attended a drug abuse or alcohol abuse treatment program?
H1HS6A	Where did you receive this counseling?  Code all that apply. private doctor's office
H1HS6B	Where did you receive this counseling?  Code all that apply. community health clinic
H1HS6C	Where did you receive this counseling?  Code all that apply. school
H1HS6D	Where did you receive this counseling?  Code all that apply. hospital
H1HS6E	Where did you receive this counseling?  Code all that apply. or some other place
H1HS7	In the past year, have you received family planning counseling or services?
H1HS8A	Where did you receive family planning counseling or services?  Code all that apply. private doctor's office
H1HS8B	Where did you receive family planning counseling or services?  Code all that apply. community health clinic
H1HS8C	Where did you receive family planning counseling or services?  Code all that apply. school
H1HS8D	Where did you receive family planning counseling or services?  Code all that apply. hospital
H1HS8E	Where did you receive family planning counseling or services?  Code all that apply. or some other place
H1HS9	In the past year, have you received testing or treatment for a sexually transmitted disease or AIDS?
H1HS10A	Where did you receive this testing or treatment?  Code all that apply. private doctor's office
H1HS10B	Where did you receive this testing or treatment?  Code all that apply. community health clinic
H1HS10C	Where did you receive this testing or treatment?  Code all that apply. school
H1HS10D	Where did you receive this testing or treatment?  Code all that apply. hospital
H1HS10E	Where did you receive this testing or treatment?  Code all that apply. or some other place
H1HS11	In the past year, have you received prenatal/post partum health care?
H1HS12A	Where did you receive this care?  Code all that apply. private doctor's office
H1HS12B	Where did you receive this care?  Code all that apply. community health clinic
H1HS12C	Where did you receive this care?  Code all that apply. school
H1HS12D	Where did you receive this care?  Code all that apply. hospital
H1HS12E	Where did you receive this care?  Code all that apply. or some other place
H1RP1	Getting (If R is male, add: someone) pregnant at this time in your life is one of the worst things that could happen to you.
H1RP2	It wouldn't be all that bad if you got (IF R is male, add: someone) pregnant at this time in your life.
H1RP3	If you got the AIDS virus, you would suffer a great deal.
H1RP4	It would be a big hassle to do the things necessary to  completely protect yourself from getting a sexually transmitted disease.
H1RP5	Imagine that sometime soon you were to have sexual  intercourse with someone just once, but were unable to use any method of birth control for some reason.  What is the chance that you would get (If R is male, add: your partner) pregnant?
H1RP6	Suppose that sometime soon you had sexual intercourse for a whole month, as often as you wanted to, without using any protection. What is the chance that you would get the AIDS virus?
H1SE1	[Hand R show card 7.]  If you wanted to use birth control, how sure are you that you could stop yourself and use birth control once you were highly aroused or turned on?
H1SE2	How sure are you that you could plan ahead to have some form of birth control available?
H1SE3	How sure are you that you could resist sexual intercourse if your partner did not want to use some form of birth control?
H1SE4	[Hand R show card 8.]  Compared with other people your age, how intelligent are you?
H1FS1	You were bothered by things that usually don't bother you.
H1FS2	You didn't feel like eating, your appetite was poor.
H1FS3	You felt that you could not shake off the blues, even with help from your family and your friends.
H1FS4	You felt that you were just as good as other people.
H1FS5	You had trouble keeping your mind on what you were doing.
H1FS6	You felt depressed.
H1FS7	You felt that you were too tired to do things.
H1FS8	You felt hopeful about the future.
H1FS9	You thought your life had been a failure.
H1FS10	You felt fearful.
H1FS11	You were happy
H1FS12	You talked less than usual.
H1FS13	You felt lonely.
H1FS14	People were unfriendly to you.
H1FS15	You enjoyed life.
H1FS16	You felt sad.
H1FS17	You felt that people disliked you.
H1FS18	It was hard to get started doing things.
H1FS19	You felt life was not worth living.
H1HR2A	Is {NAME} male or female?
H1HR3A	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4A	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5A	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6A	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7A	How old is {NAME}?  If less than a year enter “0.”
H1HR8A	About how old is {NAME}?
H1HR9A	Have you and {NAME} always lived in the same household?
H1HR10A	For how many years have you and {NAME} lived in the same household?  Enter “0” if less than a year.
H1HR11A	For how many months have you and {NAME} lived in the same household?
H1HR2B	Is {NAME} male or female?
H1HR3B	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4B	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5B	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6B	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7B	How old is {NAME}?  If less than a year enter“0.”
H1HR8B	About how old is {NAME}?
H1HR9B	Have you and {NAME} always lived in the same household?
H1HR10B	For how many years have you and {NAME} lived in the same household?  Enter “0” if less than a year.
H1HR11B	For how many months have you and {NAME} lived in the same household?
H1HR2C	Is {NAME} male or female?
H1HR3C	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4C	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5C	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6C	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7C	How old is {NAME}?  If less than a year enter “0.”
H1HR8C	About how old is {NAME}?
H1HR9C	Have you and {NAME} always lived in the same household?
H1HR10C	For how many years have you and {NAME} lived in the same household?  Enter “0” if less than a year.
H1HR11C	For how many months have you and {NAME} lived in the same household?
H1HR2D	Is {NAME} male or female?
H1HR3D	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4D	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5D	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6D	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7D	How old is {NAME}?  If less than a year enter “0.”
H1HR8D	About how old is {NAME}?
H1HR9D	Have you and {NAME} always lived in the same household?
H1HR10D	For how many years have you and {NAME} lived in the same household?  Enter “0” if less than a year.
H1HR11D	For how many months have you and {NAME} lived in the same household?
H1HR2E	Is {NAME} male or female?
H1HR3E	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4E	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5E	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6E	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7E	How old is {NAME}?  Enter “0” if less than a year.
H1HR8E	About how old is {NAME}?  Enter “0” if less than a year.
H1HR9E	Have you and {NAME} always lived in the same household?
H1HR10E	For how many years have you and {NAME} lived in the same household?  Enter “0” if less than a year.
H1HR11E	For how many months have you and {NAME} lived in the same household?
H1HR2F	Is {NAME} male or female?
H1HR3F	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4F	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5F	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6F	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7F	How old is {NAME}?  If less than a year enter “0.”
H1HR8F	About how old is {NAME}?  If less than a year enter “0.”
H1HR9F	Have you and {NAME} always lived in the same household?
H1HR10F	For how many years have you and {NAME} lived in the same household?  Enter “0” if less than a year.
H1HR11F	For how many months have you and {NAME} lived in the same household?
H1HR2G	Is {NAME} male or female?
H1HR3G	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4G	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5G	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6G	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7G	How old is {NAME}?  If less than a year enter “0.”
H1HR8G	About how old is {NAME}?  If less than a year enter “0.”
H1HR9G	Have you and {NAME} always lived in the same household?
H1HR10G	For how many years have you and {NAME} lived in the same household?  Enter “0” if less than a year.
H1HR11G	For how many months have you and {NAME} lived in the same household?
H1HR2H	Is {NAME} male or female?
H1HR3H	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4H	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5H	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6H	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7H	How old is {NAME}?  If less than a year enter “0.”
H1HR8H	About how old is {NAME}?   If less than a year enter “0.”
H1HR9H	Have you and {NAME} always lived in the same household?
H1HR10H	For how many years have you and {NAME} lived in the same household?  Enter “0” if less than a year.
H1HR11H	For how many months have you and {NAME} lived in the same household?
H1HR2I	Is {NAME} male or female?
H1HR3I	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4I	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5I	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6I	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7I	How old is {NAME}?  If less than a year enter “0.”
H1HR8I	About how old is {NAME}?  If less than a year enter “0.”
H1HR9I	Have you and {NAME} always lived in the same household?
H1HR10I	For how many years have you and {NAME} lived in the same household?  Enter “0” if less than a year.
H1HR11I	For how many months have you and {NAME} lived in the same household?
H1HR2J	Is {NAME} male or female?
H1HR3J	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4J	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5J	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6J	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7J	How old is {NAME}?  If less than a year enter “0.”
H1HR8J	About how old is {NAME}?
H1HR9J	Have you and {NAME} always lived in the same household?
H1HR10J	For how many years have you and {NAME} lived in the same household?
H1HR11J	For how many months have you and {NAME} lived in the same household?
H1HR2K	Is {NAME} male or female?
H1HR3K	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4K	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5K	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6K	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7K	How old is {NAME}?  If less than a year enter “0.”
H1HR8K	About how old is {NAME}?
H1HR9K	Have you and {NAME} always lived in the same household?
H1HR10K	For how many years have you and {NAME} lived in the same household?
H1HR11K	For how many months have you and {NAME} lived in the same household?
H1HR2L	Is {NAME} male or female?
H1HR3L	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4L	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5L	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6L	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7L	How old is {NAME}?
H1HR8L	About how old is {NAME}?
H1HR9L	Have you and {NAME} always lived in the same household?
H1HR10L	For how many years have you and {NAME} lived in the same household?
H1HR11L	For how many months have you and {NAME} lived in the same household?
H1HR2M	Is {NAME} male or female?
H1HR3M	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4M	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5M	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6M	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7M	How old is {NAME}?
H1HR8M	About how old is {NAME}?
H1HR9M	Have you and {NAME} always lived in the same household?
H1HR10M	For how many years have you and {NAME} lived in the same household?
H1HR11M	For how many months have you and {NAME} lived in the same household?
H1HR2N	Is {NAME} male or female?
H1HR3N	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4N	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5N	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6N	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7N	How old is {NAME}?
H1HR8N	About how old is {NAME}?
H1HR9N	Have you and {NAME} always lived in the same household?
H1HR10N	For how many years have you and {NAME} lived in the same household?
H1HR11N	For how many months have you and {NAME} lived in the same household?
H1HR2O	Is {NAME} male or female?
H1HR3O	[Hand R show card 10.]  What is {NAME}'s relationship to you?
H1HR4O	[Hand R show card 11m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR5O	[Hand R show card 12m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR6O	[Hand R show card 13m/ f.]  Which description best fits {NAME}'s relationship to you?
H1HR7O	How old is {NAME}?
H1HR8O	About how old is {NAME}?
H1HR9O	Have you and {NAME} always lived in the same household?
H1HR10O	For how many years have you and {NAME} lived in the same household?
H1HR11O	For how many months have you and {NAME} lived in the same household?
H1HR2P	Is {NAME} male or female?
