AID	RESPONDENT IDENTIFIER
H4ID5H	Has a doctor, nurse or other health care provider ever told you that you have or had: depression?
H4ID5I	Has a doctor, nurse or other health care provider ever told you that you have or had: post-traumatic stress disorder or PTSD?
H4ID5J	Has a doctor, nurse or other health care provider ever told you that you have or had: anxiety or panic disorder?
H4ID5K	Has a doctor, nurse or other health care provider ever told you that you have or had: epilepsy or another seizure disorder?
H4ID5L	as a doctor, nurse or other health care provider ever told you that you have or had: attention problems or ADD or ADHD?
H4ID5N	Has a doctor, nurse or other health care provider ever told you that you have or had: Hepatitis C?
H4ID7	In the past 12 months, have you suffered any serious injuries? For example, broken bones, cuts or lacerations, burns, torn muscles, tendons or ligaments, or other injuries that interfered with your ability to perform daily tasks.
H4ID8	In the past 12 months, were you involved in a motor vehicle accident?
H4ID9A	Have you had gum disease (gingivitis; periodontal disease) or tooth loss because of cavities, Gum disease (gingivitis; periodontal disease) or tooth loss because of cavities in the last four weeks?*
H4ID9B	Have you had active infection in the last four weeks?*
H4ID9C	Have you had injury in the last four weeks?*
H4ID9D	Have you had acute illness in the last four weeks?*
H4ID9E	Have you had surgery in the last four weeks?*
H4ID9F	Have you had active seasonal allergies (hay fever) in last four weeks?*
H4ID9G	Have you had none of the above in the last four weeks?*
H4ID10A	Have you had cold or flu-like symptoms such as sore throat,
H4ID10B	Have you had fever in the last two weeks?*
H4ID10C	Have you had night sweats in the last two weeks?*
H4ID10D	Have you had nausea or vomiting or diarrhea in the last two weeks?*
H4ID10E	Have you had blood in stool (feces) or in urine in the last two weeks?*
H4ID10F	Have you had frequent urination in the last two weeks?*
H4ID10G	Have you had skin rash or abscess in the last two weeks?*
H4ID10H	Have you had none of the above in the last two weeks?*
H4ID11	Regarding your current medication use: In the past 24 hours, have you taken aspirin or aspirin-containing medications including cold and allergy medications or headache powders? Do not include acetaminophen for example, Tylenol, or ibuprofen, for example, Advil, Motrin or Nuprin. Some examples of aspirin-containing medications include: Anacin, Aspirin, B.C. Backache Relief Extra Strength, Bayer, Excedrin, Goody’s™, Pain Relief, Pain Reliever Added Strength, Vanquish
H4ID12	In the past 24 hours, have you taken other anti-inflammatory medications? Do not include acetaminophen, for example, Tylenol or aspirin-containing medications. Some examples of those include: Advil, Aleve, Ibuprofen, Motrin, Naproxen, Nuprin
H4ID13	Do you have total blindness in one or both eyes?
H4ID14	Do you use eyeglasses, contact lenses, both, or neither for vision correction?
H4ID15	With eyeglasses or contact lenses, how is your eyesight?
H4ID16	Have you ever worn a hearing aid?
H4ID17	Which statement best describes your hearing without a hearing aid or other assistive devices?
H4ID18	Do you have a problem with stuttering or stammering?
H4ID19	How would you describe your stuttering or stammering at this time?
H4ID20	In the past 12 months have you been bothered by ringing, roaring, or buzzing in your ears or head (tinnitus) that lasts for 5 minutes or more?
H4ID21	How long have you been bothered by this ringing, roaring, or buzzing in your ears or head?
H4ID22	In the past 12 months, how often have you had this ringing, roaring, or buzzing in your ears or head?
H4ID23	In the past 12 months, have you had any problem with your voice? By any problem, we mean was there any time when your voice was hoarse, raspy, breathy, weak, or, generally, did not work, perform, or sound as you feel it normally would?*
H4ID24	In the past 12 months, how often has your voice been hoarse, raspy, or breathy?*
H4ID25	In the past 12 months, how often have you had difficulty being heard or trouble projecting your voice?*
H4ID26	How often does a problem with your voice affect your personal, social, or working (professional) life?*
PRETEST	MAIN
H4SP1H	On the days you go to work, school or similar activities, what time do you usually wake up? [Hour]
H4SP1M	On the days you go to work, school or similar activities, what time do you usually wake up? [Minute]
H4SP1T	On the days you go to work, school or similar activities, what time do you usually wake up? [am/pm]
H4SP2H	On those days, what time do you usually go to sleep the night or day before? [Hour]
H4SP2M	On those days, what time do you usually go to sleep the night or day before? [Minute]
H4SP2T	On those days, what time do you usually go to sleep the night or day before? [am/pm]
H4SP3H	On the days that you don't have to get up at a certain time, what time do you usually wake up? [Hour]
H4SP3M	On the days that you don't have to get up at a certain time, what time do you usually wake up? [Minute]
H4SP3T	On the days that you don't have to get up at a certain time, what time do you usually wake up? [am/pm]
H4SP4H	On those days, what time do you usually go to sleep the night or day before? [Hour]
H4SP4M	On those days, what time do you usually go to sleep the night or day before? [Minute]
H4SP4T	On those days, what time do you usually go to sleep the night or day before? [am/pm]
H4SP5	How often did you have trouble falling asleep?
H4SP6	How often did you have trouble staying asleep throughout the night? For example, you woke up several times at night or woke up earlier
H4SP7	Based on what you have noticed or what others have told you, are there times when you snore or you stop breathing during your sleep?
H4HR1	Where do you live now? That is, where do you stay most often?
H4HR2	What kind of group quarters are you living in?
H4HR3	Do you live alone or with others?
H4HR4	How many people live with you? Don't count yourself. If someone usually lives with you but is away temporarily include him or her.
H4HR5A	Is {INITIALS} male or female?*
H4HR6A	How old is {INITIALS}? {Allow 0-120}*
H4HR7A	About how old is {INITIALS}? {Allow 0-120}*
H4HR8A	What is {INITIAL'S} relationship to you?*
H4HR9A	Which description best fits {INITIAL}'s relationship to you?*
H4HR5B	Is {INITIALS} male or female?*
H4HR6B	How old is {INITIALS}? {Allow 0-120}*
H4HR7B	About how old is {INITIALS}? {Allow 0-120}*
H4HR8B	What is {INITIAL'S} relationship to you?*
H4HR9B	Which description best fits {INITIAL}'s relationship to you?*
H4HR5C	Is {INITIALS} male or female?*
H4HR6C	How old is {INITIALS}? {Allow 0-120}*
H4HR7C	About how old is {INITIALS}? {Allow 0-120}*
H4HR8C	What is {INITIAL'S} relationship to you?*
H4HR9C	Which description best fits {INITIAL}'s relationship to you?*
H4HR5D	Is {INITIALS} male or female?*
H4HR6D	How old is {INITIALS}? {Allow 0-120}*
H4HR7D	About how old is {INITIALS}? {Allow 0-120}*
H4HR8D	What is {INITIAL'S} relationship to you?*
H4HR9D	Which description best fits {INITIAL}'s relationship to you?*
H4HR5E	Is {INITIALS} male or female?*
H4HR6E	How old is {INITIALS}? {Allow 0-120}*
H4HR7E	About how old is {INITIALS}? {Allow 0-120}*
H4HR8E	What is {INITIAL'S} relationship to you?*
H4HR9E	Which description best fits {INITIAL}'s relationship to you?*
H4HR5F	Is {INITIALS} male or female?*
H4HR6F	How old is {INITIALS}? {Allow 0-120}*
H4HR7F	About how old is {INITIALS}? {Allow 0-120}*
H4HR8F	What is {INITIAL'S} relationship to you?*
H4HR9F	Which description best fits {INITIAL}'s relationship to you?*
H4HR5G	Is {INITIALS} male or female?*
H4HR6G	How old is {INITIALS}? {Allow 0-120}*
H4HR7G	About how old is {INITIALS}? {Allow 0-120}*
H4HR8G	What is {INITIAL'S} relationship to you?*
H4HR9G	Which description best fits {INITIAL}'s relationship to you?*
H4HR5H	Is {INITIALS} male or female?*
H4HR6H	How old is {INITIALS}? {Allow 0-120}*
H4HR7H	About how old is {INITIALS}? {Allow 0-120}*
H4HR8H	What is {INITIAL'S} relationship to you?*
H4HR9H	Which description best fits {INITIAL}'s relationship to you?*
H4HR5I	Is {INITIALS} male or female?*
H4HR6I	How old is {INITIALS}? {Allow 0-120}*
H4HR7I	About how old is {INITIALS}? {Allow 0-120}*
H4HR8I	What is {INITIAL'S} relationship to you?*
H4HR9I	Which description best fits {INITIAL}'s relationship to you?*
H4HR5J	Is {INITIALS} male or female?*
H4HR6J	How old is {INITIALS}? {Allow 0-120}*
H4HR7J	About how old is {INITIALS}? {Allow 0-120}*
H4HR8J	What is {INITIAL'S} relationship to you?*
H4HR9J	Which description best fits {INITIAL}'s relationship to you?*
H4HR5K	Is {INITIALS} male or female?*
H4HR6K	How old is {INITIALS}? {Allow 0-120}*
H4HR7K	About how old is {INITIALS}? {Allow 0-120}*
H4HR8K	What is {INITIAL'S} relationship to you?*
H4HR9K	Which description best fits {INITIAL}'s relationship to you?*
H4HR5L	Is {INITIALS} male or female?*
H4HR6L	How old is {INITIALS}? {Allow 0-120}*
H4HR7L	About how old is {INITIALS}? {Allow 0-120}*
H4HR8L	What is {INITIAL'S} relationship to you?*
H4HR9L	Which description best fits {INITIAL}'s relationship to you?*
H4HR5M	Is {INITIALS} male or female?*
H4HR6M	How old is {INITIALS}? {Allow 0-120}*
H4HR7M	About how old is {INITIALS}? {Allow 0-120}*
H4HR8M	What is {INITIAL'S} relationship to you?*
H4HR9M	Which description best fits {INITIAL}'s relationship to you?*
H4HR5N	Is {INITIALS} male or female?*
H4HR6N	How old is {INITIALS}? {Allow 0-120}*
H4HR7N	About how old is {INITIALS}? {Allow 0-120}*
H4HR8N	What is {INITIAL'S} relationship to you?*
H4HR9N	Which description best fits {INITIAL}'s relationship to you?*
H4HR5O	Is {INITIALS} male or female?*
H4HR6O	How old is {INITIALS}? {Allow 0-120}*
H4HR7O	About how old is {INITIALS}? {Allow 0-120}*
H4HR8O	What is {INITIAL'S} relationship to you?*
H4HR9O	Which description best fits {INITIAL}'s relationship to you?*
H4HR5P	Is {INITIALS} male or female?*
H4HR6P	How old is {INITIALS}? {Allow 0-120}*
H4HR7P	About how old is {INITIALS}? {Allow 0-120}*
H4HR8P	What is {INITIAL'S} relationship to you?*
H4HR9P	Which description best fits {INITIAL}'s relationship to you?*
H4HR10	Have you continuously lived in {CURRENT STATE} since {LAST INTERVIEW: 1995/1996/2001/2002}?
H4HR11YA	In what year did you move to {STATE}?
H4HR11YB	In what year did you move to {STATE}?
H4HR11YC	In what year did you move to {STATE}?
H4HR11YD	In what year did you move to {STATE}?
H4HR11YE	In what year did you move to {STATE}?
H4HR11YF	In what year did you move to {STATE}?
H4HR11YG	In what year did you move to {STATE}?
H4HR11YH	In what year did you move to {STATE}?
H4HR11YI	In what year did you move to {STATE}?
H4HR11YJ	In what year did you move to {STATE}?
H4HR11YK	In what year did you move to {STATE}?
H4HR11YL	In what year did you move to {STATE}?
H4HR11YM	In what year did you move to {STATE}?
H4HR11YN	In what year did you move to {STATE}?
H4HR11YO	In what year did you move to {STATE}?
H4ED1	What is your high school graduation status?
H4ED2	What is the highest level of education that you have achieved to date?
H4ED3A	What is the most recent degree you have received?
H4ED3B	What is the second most recent degree you have received?
H4ED3C	What is the third most recent degree you have received?
H4ED3D	What is the fourth most recent degree you have received?
H4ED3E	What is the fifth most recent degree you have received?
H4ED3F	What is the sixth most recent degree you have received?
H4ED3G	What is the seventh most recent degree you have received?
H4ED3H	What is the eighth most recent degree you have received?
H4ED4A	In what year did you receive your most recent degree/certificate?
H4ED4B	In what year did you receive your next most recent degree/certificate?
H4ED4C	In what year did you receive your next most recent degree/certificate?
H4ED4D	In what year did you receive your next most recent degree/certificate?
H4ED4E	In what year did you receive your next most recent degree/certificate?
H4ED4F	In what year did you receive your next most recent degree/certificate?
H4ED4G	In what year did you receive your next most recent degree/certificate?
H4ED4H	In what year did you receive your next most recent degree/certificate?
H4ED5A	Have you received any other degrees or certificates from a college, university, or vocational/technical school?
H4ED5B	Have you received any other degrees or certificates from a college, university, or vocational/technical school?
H4ED5C	Have you received any other degrees or certificates from a college, university, or vocational/technical school?
H4ED5D	Have you received any other degrees or certificates from a college, university, or vocational/technical school?
H4ED5E	Have you received any other degrees or certificates from a college, university, or vocational/technical school?
H4ED5F	Have you received any other degrees or certificates from a
H4ED5G	Have you received any other degrees or certificates from a college, university, or vocational/technical school?
H4ED5H	Have you received any other degrees or certificates from a college, university, or vocational/technical school?
H4ED6	Are you currently attending a college, university, or vocational/technical school where you take courses for academic credit? If you are enrolled but on school break or vaction, count this as attending.
H4ED7	In the past 12 months, have any relatives, including your parents or in-laws, helped you out by paying some of your educational expenses, such as tuition and books?
H4ED8	Which of the following best describes your desired level of education? Please listen to all options before responding.
H4ED9	What is the highest level of education you ever expect to complete?
H4MI1	Have you ever been in the military?
H4MI2	Was your military service in the US, outside the US, or both?
H4MI3	Are you currently serving in the military?
H4MI4A	Army
H4MI4B	Air Force
H4MI4C	Marine Corps
H4MI4D	Navy
H4MI4E	Coast Guard
H4MI5	In which branch are you currently serving?
H4MI6A	active duty
H4MI6B	reserves
H4MI6C	National Guard
H4MI7	In which component are you currently serving?
H4MI8Y	In what year did your first military service begin? [Year]*
H4MI9Y	In what year did your most recent military service end? [Year]*
H4MI10	What is the highest military rank you have achieved?
H4MI11Y	What is the total amount of time you (have) served on active duty? [Years]*
H4MI11M	What is the total amount of time you (have) served on active duty? [Months]*
H4MI12Y	What is the total amount of time you (have) served in a combat zone? [Years]*
H4MI12M	What is the total amount of time you (have) served in a combat zone? [Months]*
H4MI13	During your combat deployment, how many times did you engage the enemy in a firefight?
H4MI14	During your combat deployment, did you ever kill or think you killed someone?
H4MI15	During your combat deployment, were you wounded or injured?
H4MI16A	Yes, coalition or ally
H4MI16B	Yes, enemy
H4MI16C	Yes, civilian
H4MI16D	No
H4MI17	Would you provide your social security number?
C_ACTIDUTY	Value is 1 if respondent is currently on active duty military service: H4MI3=yes and ((H4MI6A=Active Duty ONLY and H4MI7=blank) or (H4MI7=Active Duty))
C_TOTMIL	Sum of counts of: H4MI4A, H4MI4B, H4MI4C, H4MI4D, H4MI4E
C_TOTCOM	Sum of counts of: H4MI6A, H4MI6B, H4MI6C
C_TOTTIM	Number of months + number of years (converted to months) in a combat zone: H4MI12M + H4MI12Y
H4LM1	Have you ever worked full time at least 35 hours a week at a paying job while you were not primarily a student? Do not include summer work.
H4LM2	Have you ever worked for 9 weeks or more at a paying job that was at least 10 hours a week? Do not include military service.
H4LM3	Thinking back over the period from 2001 to the previous year how many total jobs have you had? Include only paying jobs that lasted 9 weeks or more and were at least 10 hours a week.
H4LM4	Thinking back over the period from 2001 to the previous year, how many times have you been fired, let go or laid off from a job?
H4LM5	How old were you when you first began working full time (at least 35 hours a week) at a paying job while you were not primarily a student? NOTE: Smallest 5 and largest 5 values are displayed.
H4LM6	Are you still at your first full-time job at least 10 hours per week?
H4LM7	Since you left your first full-time job, have you had another paying job that was at least 10 hours per week? Do not include military service.
H4LM8	Next I'd like to record a description of your first full-time job. When you see the list of categories, please tell me which best describes what you did at your first full time job.*
H4LM9M	How long did you work at your first full time job? [months]
H4LM9Y	How long did you work at your first full time job? [years]
H4LM10	Which of the following best describes your first full time job?
H4LM11	Are you currently working for pay at least 10 hours a week?
H4LM12	On how many jobs are you currently working for pay at least 10 hours a week?
H4LM13	How many total hours a week do you usually spend at these jobs?* NOTE: Smallest 5 and largest 5 values are displayed.
H4LM14	Which one of the following categories best describes what you're doing now?
H4LM15Y	In what year did you begin your (current/most recent) primary job? [year]
H4LM16Y	In what year did you last work at this job? [year]
H4LM17	What is the main reason you left your most recent job?
H4LM18	Now I'd like to record a description of your (current/most recent) job. When you see the list of categories, please tell me which best describes what you (do/did) at your (current/most recent) job.* NOTE: Smallest 5 and largest 5 values are displayed.
H4LM19	How many hours a week (do/did) you usually work at this job?* NOTE: Smallest 5 and largest 5 values are displayed.
H4LM20	Which one of these categories best describes the hours you (work/worked) at this job?
H4LM21A	health insurance?
H4LM21B	retirement benefits (such as 401k, 403b, or a company pension plan)?
H4LM21C	paid vacation or sick leave?
H4LM22	In your current primary job, do you spend most of your time
H4LM23	Overall, how often (do/did) you have the freedom to make important decisions about what you (do/did) at work and how you (do/did) it?
H4LM24	How much of the time (do/did) you do the same things repeatedly, that is over and over?
H4LM25	Thinking about your official job duties, which of the following statements best describes your supervisory responsibilities at your (current/most recent) primary job?
H4LM26	How satisfied (are/were) you with this job, as a whole?
H4LM27	Which one of the following best describes your (current/most recent) primary job?
H4LM28	Indicate how much you would agree or disagree with this statement: Family responsibilities have interfered with my ability to work.
H4LM29	(In the past 12 months/Since you started your current job/In the last year of your most recent job), how often on your primary job (have you had/have you had/did you have) to cut back your hours or turn down overtime because of your family responsibilities?
H4LM30	(In the past 12 months/Since you started your current job/In the last year of your most recent job), how often on your primary job (have you spent/have you spent/did you spend) less time with your family than you wanted to because of work responsibilities?
H4EC1	Thinking about your income and the income of everyone who lives in your household and contributes to the household budget, what was the total household income before taxes and deductions in
H4EC2	Now think about your personal earnings. In {2006/2007/2008}, how much income did you receive from personal earnings before
H4EC3	What is your best guess of your personal earnings before taxes? (Income data are important in analyzing the health information we collect. For example, the information helps us to learn whether persons in one income group use certain types of medical care services or have conditions more or less often than those in another group.)
H4EC4	Is your house, apartment, or residence owned or being bought by
H4EC5	About how much do {YOU AND/OR YOUR SPOUSE/PARTNER} you owe on the mortgage for your house, apartment, or residence? NOTE: Smallest 5 and largest 5 values are displayed.
H4EC6	Have {YOU/YOUR SPOUSE/PARTNER} ever received any financial gifts or loans from your parents, in-laws, or relatives to help you buy, remodel, build or furnish a home or condominium?
H4EC7	What is your best estimate of the total value of your assets and the assets of everyone who lives in your household and contributes to the household budget? Include all assets, such as bank accounts, retirement plans and stocks. Do not include equity in your home. (Income data are important in analyzing the health information we collect. For example, the information helps us to learn whether persons in one income group use certain types of medical care services or have conditions more or less often than those in another group.)
H4EC8	Now, think about your debts besides any mortgage on your home. How much do you and others in your household owe altogether? Include all debts, including all types of loans, credit card debt, medical or legal bills, etc.
H4EC9	Suppose you and others in your household were to sell all of your major possessions (including your home), turn all of your investments and other assets into cash, and pay off all of your debts. Would you have something left over, break even, or be in debt?
H4EC10	In the past 12 months, was there a time when {YOU/YOUR HOUSEHOLD} was without phone service because you didn't have enough money?
H4EC11	In the past 12 months, was there a time when {YOU/YOUR HOUSEHOLD} didn't pay the full amount of the rent or mortgage because you didn't have enough money?
H4EC12	In the past 12 months, was there a time when {YOU/YOUR HOUSEHOLD} were evicted from your house or apartment for not paying the rent or mortgage?
H4EC13	In the past 12 months, was there a time when {YOU/YOUR HOUSEHOLD} didn't pay the full amount of a gas, electricity, or oil bill because you didn't have enough money?
H4EC14	In the past 12 months, was there a time when {YOU/YOUR HOUSEHOLD} had the service turned off by the gas or electric company, or the oil company wouldn't deliver, because payments were not made?
H4EC15	In the past 12 months, was there a time when {YOU/YOUR HOUSEHOLD WERE/WAS} worried whether food would run out before you would get money to buy more?
H4EC16	Before you were 18 years old, did anyone in your household ever receive public assistance, welfare payments, or food stamps?
H4EC17	During how much of the time before you were 18 years old did anyone in your household receive this kind of help?
H4EC18	Between {1995/2002} and {2006/2007/2008}, did you or others in your household receive any public assistance, welfare payments, or food stamps?
H4EC19	Think of this ladder as representing where people stand in the United States. At the top of the ladder (step 10) are the people who have the most money and education, and the most respected jobs. At the bottom of the ladder (step 1) are the people who have the least money and education, and the least respected jobs or no job.
H4RE1	What is your present religion?
H4RE2	Is that a Christian religion?
H4RE3	Are you fundamentalist, evangelical, mainline, liberal, Pentecostal, or none of these?
H4RE4	Are you traditional, moderate, liberal, or none of these?
H4RE5	Are you Orthodox, Conservative, Reform, or none of these?
H4RE6	What is your denomination?
H4RE7	How often have you attended church, synagogue, temple, mosque, or religious services in the past 12 months?
H4RE8	Many churches, synagogues, and other places of worship have special activities outside of regular worship services--such as classes, retreats, small groups, or choir. In the past 12 months, how often have you taken part in such activities?
H4RE9	How important (if at all) is your religious faith to you?
H4RE10	How often do you pray privately, that is, when you're alone in places other than a church, synagogue, temple, mosque, or religious assembly?
H4RE11	How often do you turn to your religious or spiritual beliefs for help when you have personal problems, or problems at school or work?
H4MH1	Did any of the following happen: interruption during memory task?
C4WD90_1	How many total words on the Word List did the respondent remember during the 90-second recall period? This is the total in Box 1 on the recall form. Enter 99 if you do not have a Word List Recall Form for this respondent.*
C4WD90_2	How many words not on the list did the respondent name? This is the total in Box 2 on the recall form.*
C4WD90_3	Count all words that were repeated, whether on the Word List or not.*
H4MH2	How often do you feel isolated from others?
H4MH3	In the last 30 days, how often have you felt that you were unable to control the important things in your life?
H4MH4	In the last 30 days, how often have you felt confident in your ability to handle your personal problems?
H4MH5	In the last 30 days, how often have you felt that things were going your way?
H4MH6	In the last 30 days, how often have you felt that difficulties were piling up so high that you could not overcome them?
H4MH7	Compared to other people your age, how intelligent are you?
H4MH8	How attractive are you?
H4MH9	Including any children you may already have, how many children, in total, do you intend to have? Respondent should include children he or she intends to adopt or foster.
H4MH10	Did any of the following happen: interruption during memory task?
C4WD60_1	How many total words on the Word List did the respondent remember during the 60-second recall period? This is the total in Box 1 on the recall form.*
C4WD60_2	How many words not on the list did the respondent name? This is the total in Box 2 on the recall form.*
C4WD60_3	Count all words that were repeated, whether on the Word List or not.*
H4MH11A	2-4 (4-2)
H4MH11B	5-7 (7-5)
H4MH12A	6-2-9 (9-2-6)
H4MH12B	4-1-5 (5-1-4)
H4MH13A	3-2-7-9 (9-7-2-3)
H4MH13B	4-9-6-8 (8-6-9-4)
H4MH14A	1-5-2-8-6 (6-8-2-5-1)
H4MH14B	6-1-8-4-3 (3-4-8-1-6)
H4MH15A	5-3-9-4-1-8 (8-1-4-9-3-5)
H4MH15B	7-2-4-8-5-6 (6-5-8-4-2-7)
H4MH16A	8-1-2-9-3-6-5 (5-6-3-9-2-1-8)
H4MH16B	4-7-3-9-1-2-8 (8-2-1-9-3-7-4)
